Postcode,Number of polluting facilities,Total emissions in the air (kg),Level of pollution
2555,1,17255.75,Medium
2556,1,138740.198,Medium
2557,0,0,No polluting facilities
2558,0,0,No polluting facilities
2559,0,0,No polluting facilities
2560,4,466506.1205,Medium
2563,0,0,No polluting facilities
2564,1,20837,Medium
2565,3,43689.21171,Medium
2566,3,137546.614,Medium
2567,1,60630.219,Medium
2568,0,0,No polluting facilities
2569,2,1971330.071,High
2570,0,0,No polluting facilities
2571,2,97837.032,Medium
2572,0,0,No polluting facilities
2573,1,51320.6082,Medium
2574,1,71405.38,Medium
2575,0,0,No polluting facilities
2576,1,163197.522,Medium
2577,3,3164972.118,High
2578,0,0,No polluting facilities
2579,2,437670.9973,Medium
2580,2,629818.6062,High
2581,0,0,No polluting facilities
2582,1,77325.6825,Medium
2583,0,0,No polluting facilities
2584,0,0,No polluting facilities
2585,1,273578.33,Medium
2586,0,0,No polluting facilities
2587,0,0,No polluting facilities
2588,0,0,No polluting facilities
2590,0,0,No polluting facilities
2594,1,37407.93688,Medium
2600,0,0,No polluting facilities
2601,2,7157.875248,Low
2602,0,0,No polluting facilities
2603,1,12254.17885,Medium
2604,0,0,No polluting facilities
2605,1,3536.541679,Low
2606,0,0,No polluting facilities
2607,0,0,No polluting facilities
2609,3,127817.8957,Medium
2611,1,10610.3914,Medium
2612,0,0,No polluting facilities
2614,0,0,No polluting facilities
2615,2,64253.87,Medium
2617,2,4914.667116,Low
2618,0,0,No polluting facilities
2619,0,0,No polluting facilities
2620,5,121487.1021,Medium
2621,1,204422.5823,Medium
2622,0,0,No polluting facilities
2623,0,0,No polluting facilities
2625,0,0,No polluting facilities
2626,0,0,No polluting facilities
2627,0,0,No polluting facilities
2628,0,0,No polluting facilities
2629,0,0,No polluting facilities
2630,0,0,No polluting facilities
2631,0,0,No polluting facilities
2632,1,21172.275,Medium
2633,0,0,No polluting facilities
2640,2,232180.6409,Medium
2641,0,0,No polluting facilities
2642,1,44782.108,Medium
2643,0,0,No polluting facilities
2644,0,0,No polluting facilities
2645,0,0,No polluting facilities
2646,2,76622.4424,Medium
2647,1,89119.2981,Medium
2648,2,2578667.84,High
2649,0,0,No polluting facilities
2650,6,200975.713,Medium
2651,0,0,No polluting facilities
2652,2,575778.8254,High
2653,1,472739.7926,Medium
2655,0,0,No polluting facilities
2656,0,0,No polluting facilities
